V1`ariant SKU,Diamond SKU,Image 1,Image 2,Variant SKU
BP0001-C-2CTW-Y-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-2ctw-Y-B.jpg?v=1749227458,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-2ctw-Y-C.jpg?v=1749227458,BP0001-C-2CTW-Y-14k-f-
BP0001-C-3CTW-Y-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-3ctw-Y-B.jpg?v=1749227512,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-3ctw-Y-C.jpg?v=1749227511,BP0001-C-3CTW-Y-14k-f-
BP0001-C-4CTW-Y-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-4ctw-Y-B.jpg?v=1749227540,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-4ctw-Y-C.jpg?v=1749227540,BP0001-C-4CTW-Y-14k-f-
BP0001-C-5CTW-Y-14k-f,,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-5ctw-Y-B.jpg?v=1749227595,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-C-5ctw-Y-C.jpg?v=1749227595,BP0001-C-5CTW-Y-14k-f-
BP0001-O-1CTW-Y-14k-f,E7D71389A,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-1ctw-Y-B.jpg?v=1749225178,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-1ctw-Y-C.jpg?v=1749225178,BP0001-O-1CTW-Y-14k-f-E7D71389A
BP0001-O-2CTW-Y-14k-f,81B19F375,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-2ctw-Y-B.jpg?v=1749225255,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-2ctw-Y-C.jpg?v=1749225255,BP0001-O-2CTW-Y-14k-f-81B19F375
BP0001-O-3CTW-Y-14k-f,9E4F4E3EF,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-3ctw-Y-B.jpg?v=1749225360,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-3ctw-Y-C.jpg?v=1749225360,BP0001-O-3CTW-Y-14k-f-9E4F4E3EF
BP0001-O-4CTW-Y-14k-f,0C3158200,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-4ctw-Y-B.jpg?v=1749225433,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-4ctw-Y-C.jpg?v=1749225433,BP0001-O-4CTW-Y-14k-f-0C3158200
BP0001-O-5CTW-Y-14k-f,1509E0EF8,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-5ctw-Y-B.jpg?v=1749225494,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-O-5ctw-Y-C.jpg?v=1749225494,BP0001-O-5CTW-Y-14k-f-1509E0EF8
BP0001-R-1CTW-Y-14k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-1ctw-Y-B.jpg?v=1749223869,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0001-R-1ctw-Y-C.jpg?v=1749223869,BP0001-R-1CTW-Y-14k-f-89CDD50A5
