Variant SKU,Ring Visualizer URL
BR0002-E-10x8-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871043/vki2v5uau9lrp2m4qzge.png
BR0002-E-11x9-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871036/mdhvohkyrn44y5paghlw.png
BR0002-P-6x6-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871151/dwsf34gq4mnalvbs7cth.png
BR0002-P-7x7-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871131/myrnpkub13lmlt6q3967.png
BR0002-P-8x8-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871177/yefa9bhtrt6qiege3zgt.png
BR0002-P-9x9-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871156/y1nxg0vzgplz4dntmjro.png
BR0002-P-10x10-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871059/k9w459xgfvxa0uw1nj0i.png
BR0002-R-6.5-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871137/krxmmplrpr12wxt4zj1h.png
BR0002-R-8-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871121/luahvrkaszkiw2nzph7s.png
BR0002-R-9.4-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871093/wgxhr5hw15z6nudfpdol.png
BR0002-R-10-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871069/ta8cftqeb2gi6wr1nun6.png
BR0002-R-11-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871170/n2kqommlmgnaxftcwauc.png
BR0002-H-7x7-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871035/rotds5iqtnstcmuu48fs.png
BR0002-H-8x8-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871029/tig8fdgxub1xgygxwdy0.png
BR0002-H-9x9-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871105/rpnbnkbicbm4ccyzrkvg.png
BR0002-H-10x10-W-18k-f,https://res.cloudinary.com/dqscf8bog/image/upload/v1753871084/ehkagi88r3tptnxd89l6.png
